Timestamp,X,Y,Z
22-May-2021 11:42:56.607,-11.82,0.66,-49.68
22-May-2021 11:42:56.622,-10.92,0.48,-49.139999
22-May-2021 11:42:56.637,-10.08,-0.6,-48.779999
22-May-2021 11:42:56.652,-9.96,-1.86,-48.599998
22-May-2021 11:42:56.667,-9.78,-2.94,-48.599998
22-May-2021 11:42:56.682,-9.9,-4.68,-49.079998
22-May-2021 11:42:56.697,-9.719999,-5.58,-48.719997
22-May-2021 11:42:56.712,-9.12,-6.78,-48.239998
22-May-2021 11:42:56.727,-8.16,-7.68,-48.119999
22-May-2021 11:42:56.742,-6.72,-8.099999,-48
22-May-2021 11:42:56.757,-5.52,-8.82,-47.939999
22-May-2021 11:42:56.772,-4.32,-9.54,-47.52
22-May-2021 11:42:56.787,-3.96,-10.559999,-47.399998
22-May-2021 11:42:56.802,-2.88,-11.88,-46.739998
22-May-2021 11:42:56.817,-2.16,-13.259999,-46.5
22-May-2021 11:42:56.832,-1.5,-14.52,-46.860001
22-May-2021 11:42:56.847,-0.36,-15.36,-46.919998
22-May-2021 11:42:56.862,0.18,-16.199999,-47.639999
22-May-2021 11:42:56.877,1.2,-17.1,-47.579998
22-May-2021 11:42:56.892,2.34,-17.459999,-47.639999
22-May-2021 11:42:56.907,2.94,-17.82,-47.82
22-May-2021 11:42:56.922,3.66,-18.18,-47.52
22-May-2021 11:42:56.937,4.08,-18.24,-47.759998
22-May-2021 11:42:56.952,4.5,-18.359999,-47.279999
22-May-2021 11:42:56.967,5.82,-18.48,-46.68
22-May-2021 11:42:56.982,6.18,-18.359999,-46.68
22-May-2021 11:42:56.997,7.02,-18.48,-46.439999
22-May-2021 11:42:57.012,7.86,-19.199999,-46.68
22-May-2021 11:42:57.027,8.22,-19.799999,-46.619999
22-May-2021 11:42:57.042,9.42,-20.34,-46.739998
22-May-2021 11:42:57.057,9.719999,-21.059999,-46.98
22-May-2021 11:42:57.072,10.26,-21.059999,-46.619999
22-May-2021 11:42:57.087,10.679999,-21.359999,-46.200001
